n,config,run,wall_ms,nodes,iterations
7,egglog,1,6.861,451,3
7,egglog,2,6.093,451,3
7,egglog,3,6.115,451,3
7,egglog,4,6.131,451,3
7,egglog,5,6.088,451,3
7,ours-rules,1,3.614,501,3
7,ours-rules,2,3.520,501,3
7,ours-rules,3,3.516,501,3
7,ours-rules,4,3.617,501,3
7,ours-rules,5,3.469,501,3
7,ours-native,1,3.445,25,1
7,ours-native,2,3.166,25,1
7,ours-native,3,3.127,25,1
7,ours-native,4,3.113,25,1
7,ours-native,5,3.137,25,1
9,egglog,1,6.044,857,3
9,egglog,2,6.043,857,3
9,egglog,3,6.242,857,3
9,egglog,4,6.030,857,3
9,egglog,5,6.252,857,3
9,ours-rules,1,3.704,947,3
9,ours-rules,2,4.244,947,3
9,ours-rules,3,4.228,947,3
9,ours-rules,4,3.935,947,3
9,ours-rules,5,3.892,947,3
9,ours-native,1,3.636,33,1
9,ours-native,2,3.378,33,1
9,ours-native,3,3.230,33,1
9,ours-native,4,3.170,33,1
9,ours-native,5,3.679,33,1
11,egglog,1,6.272,1275,3
11,egglog,2,6.217,1275,3
11,egglog,3,6.314,1275,3
11,egglog,4,6.126,1275,3
11,egglog,5,6.136,1275,3
11,ours-rules,1,3.964,1405,3
11,ours-rules,2,3.900,1405,3
11,ours-rules,3,3.970,1405,3
11,ours-rules,4,3.883,1405,3
11,ours-rules,5,4.008,1405,3
11,ours-native,1,3.286,41,1
11,ours-native,2,3.222,41,1
11,ours-native,3,3.187,41,1
11,ours-native,4,3.773,41,1
11,ours-native,5,3.697,41,1
13,egglog,1,15.305,13827,4
13,egglog,2,14.808,13827,4
13,egglog,3,14.844,13827,4
13,egglog,4,14.771,13827,4
13,egglog,5,15.404,13827,4
13,ours-rules,1,10.583,15390,4
13,ours-rules,2,10.132,15390,4
13,ours-rules,3,10.158,15390,4
13,ours-rules,4,10.349,15390,4
13,ours-rules,5,10.291,15390,4
13,ours-native,1,3.601,49,1
13,ours-native,2,3.737,49,1
13,ours-native,3,3.185,49,1
13,ours-native,4,3.459,49,1
13,ours-native,5,3.695,49,1
15,egglog,1,18.733,19685,4
15,egglog,2,18.634,19685,4
15,egglog,3,18.674,19685,4
15,egglog,4,18.400,19685,4
15,egglog,5,18.567,19685,4
15,ours-rules,1,13.343,21768,4
15,ours-rules,2,12.980,21768,4
15,ours-rules,3,12.755,21768,4
15,ours-rules,4,12.903,21768,4
15,ours-rules,5,12.950,21768,4
15,ours-native,1,3.526,57,1
15,ours-native,2,3.388,57,1
15,ours-native,3,3.412,57,1
15,ours-native,4,3.273,57,1
15,ours-native,5,3.317,57,1
17,egglog,1,22.083,25607,4
17,egglog,2,22.367,25607,4
17,egglog,3,24.037,25607,4
17,egglog,4,21.891,25607,4
17,egglog,5,21.927,25607,4
17,ours-rules,1,16.187,28212,4
17,ours-rules,2,16.160,28212,4
17,ours-rules,3,16.095,28212,4
17,ours-rules,4,16.070,28212,4
17,ours-rules,5,15.753,28212,4
17,ours-native,1,3.583,65,1
17,ours-native,2,3.542,65,1
17,ours-native,3,3.465,65,1
17,ours-native,4,3.363,65,1
17,ours-native,5,3.721,65,1
20,egglog,1,28.613,34508,4
20,egglog,2,28.188,34508,4
20,egglog,3,27.570,34508,4
20,egglog,4,28.106,34508,4
20,egglog,5,27.382,34508,4
20,ours-rules,1,19.859,37902,4
20,ours-rules,2,19.747,37902,4
20,ours-rules,3,19.739,37902,4
20,ours-rules,4,20.093,37902,4
20,ours-rules,5,19.811,37902,4
20,ours-native,1,3.633,77,1
20,ours-native,2,3.461,77,1
20,ours-native,3,3.490,77,1
20,ours-native,4,3.349,77,1
20,ours-native,5,3.525,77,1
