instance,family,params,sum_a,sum_a_capped,or_states,exact_ms,exact_size,exact_vmass,playouts,mcgs_ms,mcgs_size,mcgs_vmass,certified
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,1,0.025,7,6,false
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,2,0.048,5,2,false
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,4,0.054,5,2,false
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,8,0.064,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,16,0.081,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,32,0.069,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,64,0.087,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,128,0.078,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,256,0.065,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,512,0.110,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,1024,0.062,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,2048,0.080,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,4096,0.074,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,8192,0.071,5,2,true
dec-000,dec,d_b=3;m=2;gap=2;k=1;q=0;s=3,6,false,7,0.032,5,2,16384,0.110,5,2,true
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,1,0.083,18,12,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,2,0.100,18,12,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,4,0.114,18,12,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,8,0.142,18,12,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,16,0.215,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,32,0.359,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,64,0.563,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,128,0.988,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,256,1.452,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,512,2.523,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,1024,3.919,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,2048,7.822,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,4096,15.784,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,8192,33.199,17,8,false
mixed-000-0,mixed,seed=0x6831f9b62d8166c8;cycles=6;planted=1;d_b=4;m=2;gap=1;k=2,13989,false,3154,0.147,17,8,16384,63.349,17,8,true
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,1,0.009,7,6,false
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,2,0.013,7,6,false
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,4,0.019,5,2,false
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,8,0.032,5,2,false
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,16,0.036,5,2,true
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,32,0.033,5,2,true
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,64,0.032,5,2,true
dec-001,dec,d_b=3;m=2;gap=2;k=2;q=0;s=3,9,false,10,0.019,5,2,128,0.033,5,2,true
