benchmark,config,run,wall_ms,nodes,classes,iterations
eqsat-basic,egglog,1,6.485,11,,3
eqsat-basic,egglog,2,6.537,11,,3
eqsat-basic,egglog,3,6.600,11,,3
eqsat-basic,egglog,4,6.502,11,,3
eqsat-basic,egglog,5,6.365,11,,3
eqsat-basic,egglog,6,6.616,11,,3
eqsat-basic,egglog,7,6.594,11,,3
eqsat-basic,egglog,8,6.456,11,,3
eqsat-basic,egglog,9,6.645,11,,3
eqsat-basic,egglog,10,8.063,11,,3
eqsat-basic,ours-rules-naive,1,4.593,17,11,3
eqsat-basic,ours-rules-naive,2,3.776,17,11,3
eqsat-basic,ours-rules-naive,3,3.671,17,11,3
eqsat-basic,ours-rules-naive,4,3.445,17,11,3
eqsat-basic,ours-rules-naive,5,3.319,17,11,3
eqsat-basic,ours-rules-naive,6,3.091,17,11,3
eqsat-basic,ours-rules-naive,7,3.246,17,11,3
eqsat-basic,ours-rules-naive,8,3.234,17,11,3
eqsat-basic,ours-rules-naive,9,3.219,17,11,3
eqsat-basic,ours-rules-naive,10,3.166,17,11,3
eqsat-basic,ours-rules-semi,1,3.310,17,11,3
eqsat-basic,ours-rules-semi,2,3.334,17,11,3
eqsat-basic,ours-rules-semi,3,3.648,17,11,3
eqsat-basic,ours-rules-semi,4,3.543,17,11,3
eqsat-basic,ours-rules-semi,5,3.449,17,11,3
eqsat-basic,ours-rules-semi,6,3.432,17,11,3
eqsat-basic,ours-rules-semi,7,3.660,17,11,3
eqsat-basic,ours-rules-semi,8,3.403,17,11,3
eqsat-basic,ours-rules-semi,9,3.218,17,11,3
eqsat-basic,ours-rules-semi,10,3.207,17,11,3
eqsat-basic,ours-native-naive,1,3.320,14,11,3
eqsat-basic,ours-native-naive,2,3.116,14,11,3
eqsat-basic,ours-native-naive,3,3.265,14,11,3
eqsat-basic,ours-native-naive,4,3.153,14,11,3
eqsat-basic,ours-native-naive,5,3.178,14,11,3
eqsat-basic,ours-native-naive,6,3.127,14,11,3
eqsat-basic,ours-native-naive,7,3.153,14,11,3
eqsat-basic,ours-native-naive,8,3.423,14,11,3
eqsat-basic,ours-native-naive,9,3.629,14,11,3
eqsat-basic,ours-native-naive,10,3.361,14,11,3
eqsat-basic,ours-native-semi,1,3.336,14,11,3
eqsat-basic,ours-native-semi,2,3.181,14,11,3
eqsat-basic,ours-native-semi,3,3.743,14,11,3
eqsat-basic,ours-native-semi,4,3.406,14,11,3
eqsat-basic,ours-native-semi,5,3.250,14,11,3
eqsat-basic,ours-native-semi,6,3.202,14,11,3
eqsat-basic,ours-native-semi,7,3.125,14,11,3
eqsat-basic,ours-native-semi,8,3.266,14,11,3
eqsat-basic,ours-native-semi,9,3.502,14,11,3
eqsat-basic,ours-native-semi,10,3.576,14,11,3
math-add-ac,egglog,1,10.970,1939,,7
math-add-ac,egglog,2,10.723,1939,,7
math-add-ac,egglog,3,10.692,1939,,7
math-add-ac,egglog,4,10.743,1939,,7
math-add-ac,egglog,5,10.615,1939,,7
math-add-ac,egglog,6,10.691,1939,,7
math-add-ac,egglog,7,10.625,1939,,7
math-add-ac,egglog,8,10.958,1939,,7
math-add-ac,egglog,9,11.117,1939,,7
math-add-ac,egglog,10,10.762,1939,,7
math-add-ac,ours-rules-naive,1,10.936,3317,159,7
math-add-ac,ours-rules-naive,2,11.086,3317,159,7
math-add-ac,ours-rules-naive,3,11.009,3317,159,7
math-add-ac,ours-rules-naive,4,10.816,3317,159,7
math-add-ac,ours-rules-naive,5,10.662,3317,159,7
math-add-ac,ours-rules-naive,6,10.693,3317,159,7
math-add-ac,ours-rules-naive,7,10.671,3317,159,7
math-add-ac,ours-rules-naive,8,10.651,3317,159,7
math-add-ac,ours-rules-naive,9,10.745,3317,159,7
math-add-ac,ours-rules-naive,10,10.879,3317,159,7
math-add-ac,ours-rules-semi,1,9.999,3359,136,7
math-add-ac,ours-rules-semi,2,10.106,3359,136,7
math-add-ac,ours-rules-semi,3,10.104,3359,136,7
math-add-ac,ours-rules-semi,4,9.979,3359,136,7
math-add-ac,ours-rules-semi,5,9.926,3359,136,7
math-add-ac,ours-rules-semi,6,9.849,3359,136,7
math-add-ac,ours-rules-semi,7,10.056,3359,136,7
math-add-ac,ours-rules-semi,8,9.864,3359,136,7
math-add-ac,ours-rules-semi,9,9.947,3359,136,7
math-add-ac,ours-rules-semi,10,9.890,3359,136,7
math-add-ac,ours-native-naive,1,3.045,25,25,1
math-add-ac,ours-native-naive,2,3.059,25,25,1
math-add-ac,ours-native-naive,3,3.005,25,25,1
math-add-ac,ours-native-naive,4,3.156,25,25,1
math-add-ac,ours-native-naive,5,3.070,25,25,1
math-add-ac,ours-native-naive,6,3.108,25,25,1
math-add-ac,ours-native-naive,7,2.980,25,25,1
math-add-ac,ours-native-naive,8,2.956,25,25,1
math-add-ac,ours-native-naive,9,3.044,25,25,1
math-add-ac,ours-native-naive,10,3.002,25,25,1
math-add-ac,ours-native-semi,1,3.108,25,25,1
math-add-ac,ours-native-semi,2,3.050,25,25,1
math-add-ac,ours-native-semi,3,3.043,25,25,1
math-add-ac,ours-native-semi,4,3.006,25,25,1
math-add-ac,ours-native-semi,5,3.226,25,25,1
math-add-ac,ours-native-semi,6,3.141,25,25,1
math-add-ac,ours-native-semi,7,2.988,25,25,1
math-add-ac,ours-native-semi,8,3.020,25,25,1
math-add-ac,ours-native-semi,9,3.006,25,25,1
math-add-ac,ours-native-semi,10,3.023,25,25,1
math-microbenchmark,egglog,1,526.479,1047896,,11
math-microbenchmark,egglog,2,519.484,1047896,,11
math-microbenchmark,egglog,3,524.113,1047896,,11
math-microbenchmark,egglog,4,519.864,1047896,,11
math-microbenchmark,egglog,5,525.775,1047896,,11
