config,terms,variant,run,wall_ms
egglog,880,base,0,22.346
egglog,880,base,1,22.557
egglog,880,base,2,22.841
egglog,880,base,3,22.645
egglog,880,base,4,22.316
egglog,880,empty,0,37.723
egglog,880,empty,1,37.968
egglog,880,empty,2,38.217
egglog,880,empty,3,37.195
egglog,880,empty,4,37.268
egglog,880,norun,0,73.882
egglog,880,norun,1,74.711
egglog,880,norun,2,74.075
egglog,880,norun,3,73.567
egglog,880,norun,4,73.838
egglog,8900,base,0,165.53
egglog,8900,base,1,165.379
egglog,8900,base,2,166.648
egglog,8900,base,3,163.708
egglog,8900,base,4,164.621
egglog,8900,empty,0,295.235
egglog,8900,empty,1,296.421
egglog,8900,empty,2,294.641
egglog,8900,empty,3,298.183
egglog,8900,empty,4,291.834
egglog,8900,norun,0,579.094
egglog,8900,norun,1,576.695
egglog,8900,norun,2,579.148
egglog,8900,norun,3,576.073
egglog,8900,norun,4,577.464
egglog,100000,base,0,1855.084
egglog,100000,base,1,1849.173
egglog,100000,base,2,1849.747
egglog,100000,empty,0,3074.53
egglog,100000,empty,1,3049.949
egglog,100000,empty,2,3047.224
egglog,100000,norun,0,8545.827
egglog,100000,norun,1,8449.256
egglog,100000,norun,2,8564.426
ours-naive-rebuild,880,base,0,11.691
ours-naive-rebuild,880,base,1,11.718
ours-naive-rebuild,880,base,2,11.805
ours-naive-rebuild,880,base,3,12.257
ours-naive-rebuild,880,base,4,11.743
ours-naive-rebuild,880,empty,0,27.108
ours-naive-rebuild,880,empty,1,27.376
ours-naive-rebuild,880,empty,2,26.784
ours-naive-rebuild,880,empty,3,27.161
ours-naive-rebuild,880,empty,4,27.451
ours-naive-rebuild,880,norun,0,31.472
ours-naive-rebuild,880,norun,1,30.948
ours-naive-rebuild,880,norun,2,31.167
ours-naive-rebuild,880,norun,3,30.94
ours-naive-rebuild,880,norun,4,31.705
ours-naive-rebuild,8900,base,0,87.787
ours-naive-rebuild,8900,base,1,86.576
ours-naive-rebuild,8900,base,2,87.04
ours-naive-rebuild,8900,base,3,86.61
ours-naive-rebuild,8900,base,4,86.534
ours-naive-rebuild,8900,empty,0,239.656
ours-naive-rebuild,8900,empty,1,241.737
ours-naive-rebuild,8900,empty,2,240.531
ours-naive-rebuild,8900,empty,3,238.949
ours-naive-rebuild,8900,empty,4,240.136
ours-naive-rebuild,8900,norun,0,240.764
ours-naive-rebuild,8900,norun,1,244.851
ours-naive-rebuild,8900,norun,2,242.5
ours-naive-rebuild,8900,norun,3,243.805
ours-naive-rebuild,8900,norun,4,240.484
ours-naive-rebuild,100000,base,0,1269.908
ours-naive-rebuild,100000,base,1,1277.767
ours-naive-rebuild,100000,base,2,1279.946
ours-naive-rebuild,100000,empty,0,3745.631
ours-naive-rebuild,100000,empty,1,3775.154
ours-naive-rebuild,100000,empty,2,3780.786
ours-naive-rebuild,100000,norun,0,3749.993
ours-naive-rebuild,100000,norun,1,3785.975
ours-naive-rebuild,100000,norun,2,3763.114
ours-naive-suffix,880,base,0,12.779
ours-naive-suffix,880,base,0,12.699
ours-naive-suffix,880,base,1,12.21
ours-naive-suffix,880,base,1,12.452
ours-naive-suffix,880,base,2,12.849
ours-naive-suffix,880,base,2,12.473
ours-naive-suffix,880,base,3,12.087
ours-naive-suffix,880,base,3,12.243
ours-naive-suffix,880,base,4,12.113
ours-naive-suffix,880,base,4,12.526
ours-naive-suffix,880,empty,0,13.063
ours-naive-suffix,880,empty,1,13.52
ours-naive-suffix,880,empty,2,13.276
ours-naive-suffix,880,empty,3,13.22
ours-naive-suffix,880,empty,4,13.488
ours-naive-suffix,880,empty20k,0,97.986
ours-naive-suffix,880,empty20k,1,95.912
ours-naive-suffix,880,empty20k,2,109.074
ours-naive-suffix,880,empty20k,3,97.641
ours-naive-suffix,880,empty20k,4,95.474
ours-naive-suffix,880,norun,0,17.683
ours-naive-suffix,880,norun,1,17.475
ours-naive-suffix,880,norun,2,17.929
ours-naive-suffix,880,norun,3,18.01
ours-naive-suffix,880,norun,4,18.187
ours-naive-suffix,880,rerunnorun,0,12.56
ours-naive-suffix,880,rerunnorun,1,12.516
ours-naive-suffix,880,rerunnorun,2,12.515
ours-naive-suffix,880,rerunnorun,3,12.354
ours-naive-suffix,880,rerunnorun,4,12.402
ours-naive-suffix,8900,base,0,87.826
ours-naive-suffix,8900,base,0,90.563
ours-naive-suffix,8900,base,1,95.701
ours-naive-suffix,8900,base,1,95.652
ours-naive-suffix,8900,base,2,90.026
ours-naive-suffix,8900,base,2,91.548
ours-naive-suffix,8900,base,3,89.842
ours-naive-suffix,8900,base,3,91.121
ours-naive-suffix,8900,base,4,90.181
ours-naive-suffix,8900,base,4,91.565
ours-naive-suffix,8900,empty,0,91.64
ours-naive-suffix,8900,empty,1,89.944
ours-naive-suffix,8900,empty,2,89.662
ours-naive-suffix,8900,empty,3,90.243
ours-naive-suffix,8900,empty,4,90.469
ours-naive-suffix,8900,empty20k,0,169.917
ours-naive-suffix,8900,empty20k,1,171.241
ours-naive-suffix,8900,empty20k,2,180.78
ours-naive-suffix,8900,empty20k,3,170.176
ours-naive-suffix,8900,empty20k,4,174.566
ours-naive-suffix,8900,norun,0,96.985
ours-naive-suffix,8900,norun,1,95.013
ours-naive-suffix,8900,norun,2,96.064
ours-naive-suffix,8900,norun,3,99.599
ours-naive-suffix,8900,norun,4,98.482
ours-naive-suffix,8900,rerunnorun,0,91.104
ours-naive-suffix,8900,rerunnorun,1,88.827
ours-naive-suffix,8900,rerunnorun,2,88.325
ours-naive-suffix,8900,rerunnorun,3,86.525
ours-naive-suffix,8900,rerunnorun,4,89.069
ours-naive-suffix,100000,base,0,1333.974
ours-naive-suffix,100000,base,0,1309.322
ours-naive-suffix,100000,base,1,1312.121
ours-naive-suffix,100000,base,1,1312.619
ours-naive-suffix,100000,base,2,1330.253
ours-naive-suffix,100000,base,2,1308.761
ours-naive-suffix,100000,empty,0,1323.58
ours-naive-suffix,100000,empty,1,1329.109
ours-naive-suffix,100000,empty,2,1330.239
ours-naive-suffix,100000,empty20k,0,1366.127
ours-naive-suffix,100000,empty20k,1,1384.45
ours-naive-suffix,100000,empty20k,2,1399.707
ours-naive-suffix,100000,norun,0,1328.094
ours-naive-suffix,100000,norun,1,1323.735
ours-naive-suffix,100000,norun,2,1325.55
ours-naive-suffix,100000,rerunnorun,0,1326.229
ours-naive-suffix,100000,rerunnorun,1,1311.247
ours-naive-suffix,100000,rerunnorun,2,1313.941
ours-semi-rebuild,880,base,0,12.18
ours-semi-rebuild,880,base,1,12.626
ours-semi-rebuild,880,base,2,13.24
ours-semi-rebuild,880,base,3,12.191
ours-semi-rebuild,880,base,4,12.142
ours-semi-rebuild,880,empty,0,27.877
ours-semi-rebuild,880,empty,1,27.943
ours-semi-rebuild,880,empty,2,28.349
ours-semi-rebuild,880,empty,3,27.446
ours-semi-rebuild,880,empty,4,27.535
ours-semi-rebuild,880,norun,0,32.427
ours-semi-rebuild,880,norun,1,31.976
ours-semi-rebuild,880,norun,2,32.236
ours-semi-rebuild,880,norun,3,31.148
ours-semi-rebuild,880,norun,4,31.689
ours-semi-rebuild,8900,base,0,87.732
ours-semi-rebuild,8900,base,1,90.753
ours-semi-rebuild,8900,base,2,87.569
ours-semi-rebuild,8900,base,3,91.466
ours-semi-rebuild,8900,base,4,86.335
ours-semi-rebuild,8900,empty,0,247.83
ours-semi-rebuild,8900,empty,1,240.055
ours-semi-rebuild,8900,empty,2,244.991
ours-semi-rebuild,8900,empty,3,246.941
ours-semi-rebuild,8900,empty,4,246.681
ours-semi-rebuild,8900,norun,0,250.152
ours-semi-rebuild,8900,norun,1,244.239
ours-semi-rebuild,8900,norun,2,248.424
ours-semi-rebuild,8900,norun,3,251.542
ours-semi-rebuild,8900,norun,4,253.287
ours-semi-rebuild,100000,base,0,1325.787
ours-semi-rebuild,100000,base,1,1353.962
ours-semi-rebuild,100000,base,2,1360.793
ours-semi-rebuild,100000,empty,0,3939.225
ours-semi-rebuild,100000,empty,1,3848.473
ours-semi-rebuild,100000,empty,2,3891.582
ours-semi-rebuild,100000,norun,0,4304.677
ours-semi-rebuild,100000,norun,1,4069.177
ours-semi-rebuild,100000,norun,2,4040.009
ours-semi-suffix,880,base,0,12.386
ours-semi-suffix,880,base,0,12.753
ours-semi-suffix,880,base,1,12.857
ours-semi-suffix,880,base,1,14.367
ours-semi-suffix,880,base,2,12.879
ours-semi-suffix,880,base,2,12.789
ours-semi-suffix,880,base,3,12.844
ours-semi-suffix,880,base,3,12.849
