label,benchmark,config,run,wall_ms,nodes,classes,iterations
smoke,combinators,egglog,1,25.229,601,,11
smoke,combinators,ours-rules-naive,1,4.681,635,330,11
smoke,combinators,ours-rules-semi,1,4.964,635,330,11
smoke,resolution,egglog,1,9.619,10,,4
smoke,resolution,ours-rules-naive,1,4.734,72,5,4
smoke,resolution,ours-rules-semi,1,4.695,72,5,4
smoke,resolution,ours-native-naive,1,3.478,19,5,4
smoke,resolution,ours-native-semi,1,3.386,19,5,4
smoke,typecheck,egglog,1,10.376,42,,8
smoke,typecheck,ours-rules-naive,1,4.104,73,27,15
smoke,typecheck,ours-rules-semi,1,4.235,62,27,15
smoke,knapsack,egglog,1,14.329,139,,15
smoke,knapsack,ours-rules-naive,1,4.884,276,55,15
smoke,knapsack,ours-rules-semi,1,4.843,276,55,15
smoke,levenshtein-distance,egglog,1,22.115,203,,21
smoke,levenshtein-distance,ours-rules-naive,1,8.470,511,52,28
smoke,levenshtein-distance,ours-rules-semi,1,8.195,511,52,28
smoke,intersection,egglog,1,5.465,22,,3
smoke,intersection,ours-rules-naive,1,3.365,28,20,3
smoke,intersection,ours-rules-semi,1,3.237,28,20,3
